Person_ID,RD_No,Crash_Date,Crash_Location,Victim,Longitude,Latitude,Location
O1125801,JE278607,06/24/2021 11:15:00 PM,1632 E MARQUETTE DR,DRIVER,-87.58485904,41.77536486,POINT (-87.58485904 41.77536486)
O1290371,JF159275,02/28/2022 11:18:00 PM,11100 S COTTAGE GROVE,DRIVER,-87.61001554,41.69274215,POINT (-87.61001554 41.69274215)
P259594,JE311932,07/23/2021 10:52:00 PM,532 W 59TH ST,PASSENGER,-87.6387639,41.78724155,POINT (-87.6387639 41.78724155)
O1427351,JF409841,09/25/2022 06:17:00 AM,9357 S COLFAX AVE,DRIVER,-87.56062435,41.72464073,POINT (-87.56062435 41.72464073)
O632999,JC238954,04/26/2019 10:26:00 AM,2110 W 69TH PL,PEDESTRIAN,-87.6765,41.767612,POINT (-87.6765 41.767612)
P251894,JE272604,06/20/2021 01:15:00 AM,3900 S STATE ST,PASSENGER,-87.62657307,41.82362966,POINT (-87.62657307 41.82362966)
O879862,JD224906,05/05/2020 03:00:00 PM,4700 S ASHLAND AVE,PEDESTRIAN,-87.66511729,41.8085116,POINT (-87.66511729 41.8085116)
,X258,02/07/2019 05:43:00 AM,REPORTED BY SUMMIT POLICE DEPARTMENT,PEDESTRIAN,-87.8016,41.79194,POINT (-87.8016 41.79194)
O709305,JC373564,08/01/2019 09:03:00 AM,1030 W OAKDALE AVE,PEDESTRIAN,-87.65513,41.935445,POINT (-87.65513 41.935445)
O902710,JD269737,06/19/2020 11:01:00 PM,4700 S COTTAGE GROVE AVE,PEDESTRIAN,-87.60671,41.809485,POINT (-87.60671 41.809485)
O1170182,JE350872,08/26/2021 03:50:00 PM,300 N CENTRAL PARK AVE,PEDESTRIAN,-87.71620313,41.88633641,POINT (-87.71620313 41.88633641)
P246681,JE236987,05/20/2021 11:40:00 PM,4531 W DIVISION ST,PASSENGER,-87.73981922,41.90234112,POINT (-87.73981922 41.90234112)
O1244925,JE474201,12/11/2021 05:54:00 PM,2400 W OGDEN AVE,PEDESTRIAN,-87.68616067,41.86483171,POINT (-87.68616067 41.86483171)
O867137,JD197089,03/28/2020 06:47:00 PM,1305 N LARAMIE AVE,PEDESTRIAN,-87.75567,41.904267,POINT (-87.75567 41.904267)
O1341010,JF248699,05/19/2022 10:52:00 PM,5359 W IRVING PARK RD,MOTORCYCLIST,-87.76194882,41.95313519,POINT (-87.76194882 41.95313519)
O665992,JC298162,06/08/2019 09:20:00 PM,6358 S ASHLAND AVE,PEDESTRIAN,-87.66432,41.777742,POINT (-87.66432 41.777742)
O998301,JD439054,11/22/2020 09:16:00 PM,3624 W JACKSON BLVD,DRIVER,-87.71635527,41.8773123,POINT (-87.71635527 41.8773123)
O1272866,JF128397,01/30/2022 02:50:00 AM,4001 S PULASKI RD,DRIVER,-87.72381922,41.81905229,POINT (-87.72381922 41.81905229)
O971000,JD388912,10/04/2020 10:45:00 PM,2709 E 79TH ST,DRIVER,-87.55847,41.751726,POINT (-87.55847 41.751726)
O1247704,JE480235,12/17/2021 05:35:00 AM,3455 W IRVING PARK RD,PEDESTRIAN,-87.71513829,41.95371504,POINT (-87.71513829 41.95371504)
O771041,JC492732,10/30/2019 09:10:00 PM,10614 S WESTERN AVE,PEDESTRIAN,-87.6815773,41.70041507,POINT (-87.6815773 41.70041507)
O1149843,JE317727,07/28/2021 07:14:00 PM,7899 S STONY ISLAND,DRIVER,-87.58546514,41.75151786,POINT (-87.58546514 41.75151786)
